Metodos de Ordenacao;Arquivo Ordenado; ; ; ; ; Arquivo em Ordem Reversa; ; ; ; ; Arquivo Randomico
;Comp. Prog. *; Comp. Equa. #; Mov. Prog. +; Mov. Equa. -; Tempo;Comp. Prog. *; Comp. Equa. #; Mov. Prog. +; Mov. Equa. -; Tempo;Comp. Prog. *; Comp. Equa. #; Mov. Prog. +; Mov. Equa. -; Tempo
Insertion Sort;9; ;9; ;564;54; ;54; ;2552;27; ;27; ;1282
Binary Insertion Sort;41; ;0; ;804;86; ;0; ;2639;60; ;0; ;1430
Selection Sort;45; ;18; ;1443;45; ;18; ;1890;45; ;18; ;1620
Bubble Sort;45; ;0; ;1542;45; ;90; ;3435;45; ;36; ;2293
Shake Sort;45; ;0; ;1561;45; ;90; ;3412;45; ;36; ;2385
Shell Sort;23; ;0; ;804;36; ;26; ;2253;31; ;16; ;1672
Heap Sort;50; ;56; ;3199;50; ;38; ;2832;50; ;48; ;3045
Quick Sort;54; ;18; ;1815;59; ;28; ;2579;41; ;22; ;1781
Quick Sort W/ Pivot;31; ;12; ;915;34; ;22; ;1173;32; ;18; ;1043
Merge Sort 2;19; ;34; ;3109;15; ;34; ;2938;25; ;34; ;3117
Counting Sort;9; ;10; ;735;9; ;10; ;717;9; ;10; ;748
Radix Sort;9; ;10; ;724;9; ;20; ;1252;9; ;20; ;1255
Comb Sort;32; ;0; ;1118;41; ;14; ;1947;50; ;20; ;2473
Gnome Sort;10; ;0; ;311;100; ;90; ;6828;46; ;36; ;2926
Tim Sort;10; ;10; ;546;55; ;55; ;2232;28; ;28; ;1212
